web_id,button_id,button_width,button_width_ratio_with_largest_button_width,button_width_ratio_with_smallest_button_width,button_height,button_height_ratio_with_largest_button_height,button_height_ratio_with_smallest_button_height,button_color_R,button_color_G,button_color_B,button_color_A,button_contrast_with_background,button_center_x_coordinate,button_center_y_coordinate,button_is_on_navbar,button_is_on_footer,button_is_on_left_half_of_screen,button_is_on_right_half_of_screen,button_is_on_upper_half_of_screen,button_is_on_lower_half_of_screen,button_is_on_horizontal_center_of_screen,button_is_on_vertical_center_of_screen,total_number_of_buttons_in_radius_5_percent_of_screen_size,total_number_of_buttons_in_radius_10_percent_of_screen_size,total_number_of_buttons_in_radius_25_percent_of_screen_size,total_number_of_buttons_in_radius_50_percent_of_screen_size,button_text_size,button_text_size_ratio_with_largest_button_text,button_text_size_ratio_with_smallest_button_text,button_text_color_R,button_text_color_G,button_text_color_B,button_text_color_A,button_text_contrast_with_button,button_text_is_bold,button_text_is_italic,total_number_of_buttons_in_the_website,total_number_of_buttons_in_the_navbar,largest_button_text_in_the_website,smallest_button_text_in_the_website,largest_button_width_in_the_website,smallest_button_width_in_the_website,largest_button_height_in_the_website,smallest_button_height_in_the_website,button_rank
1.0,1.0,0.036458333333333336,0.417910447761194,1.0769230769230769,0.027359781121751026,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.5132758418718973,0.09400364866661144,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.6666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,1.0
1.0,2.0,0.044921875,0.5149253731343284,1.3269230769230769,0.027359781121751026,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.5689398646354675,0.09400364866661144,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.5
1.0,3.0,0.06966145833333333,0.7985074626865671,2.0576923076923075,0.027359781121751026,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.6410047908624014,0.09400364866661144,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.6666666666666666
1.0,4.0,0.033854166666666664,0.3880597014925373,1.0,0.027359781121751026,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.7075303395589193,0.09400364866661144,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.3333333333333333
1.0,5.0,0.07552083333333333,0.8656716417910447,2.230769230769231,0.027359781121751026,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.7769259562095007,0.09400364866661144,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.6666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.8333333333333334
1.0,6.0,0.08463541666666667,0.9701492537313433,2.5,0.028727770177838577,1.0,1.05,0.0,0.0,0.0,0.0,0.047619047619047616,0.4485134730736415,0.6540811436936239,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.047619047619047616,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.16666666666666666
1.0,7.0,0.08723958333333333,1.0,2.576923076923077,0.028727770177838577,1.0,1.05,0.0,0.0,0.0,0.0,0.047619047619047616,0.5501301884651184,0.6540811436936239,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,0.7142857142857143,18.0,18.0,134.0,52.0,21.0,20.0,0.0
2.0,1.0,0.07747395833333333,1.0,10.818181818181818,0.024623803009575923,0.6206896551724138,3.6,0.0,0.0,0.0,0.0,0.047619047619047616,0.044205730160077415,0.023529407589934593,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.7272727272727273,16.0,0.8,1.2307692307692308,0.0,0.0,0.9333333333333333,1.0,0.1117968253968254,0.0,0.0,12.0,0.4166666666666667,20.0,13.0,119.0,11.0,29.0,5.0,0.36363636363636365
2.0,2.0,0.007161458333333333,0.09243697478991597,1.0,0.006839945280437756,0.1724137931034483,1.0,0.8156862745098039,0.8156862745098039,0.8431372549019608,1.0,0.826350700280112,0.08974609275658925,0.031190144216639237,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.7272727272727273,13.0,0.65,1.0,0.0,0.0,0.0,1.0,0.826350700280112,0.0,0.0,12.0,0.4166666666666667,20.0,13.0,119.0,11.0,29.0,5.0,0.0
2.0,3.0,0.02734375,0.35294117647058826,3.8181818181818183,0.024623803009575923,0.6206896551724138,3.6,0.0,0.0,0.0,0.0,0.047619047619047616,0.045144314567248024,0.07168262862637333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.8181818181818182,16.0,0.8,1.2307692307692308,0.0,0.0,0.9333333333333333,1.0,0.1117968253968254,0.0,0.0,12.0,0.4166666666666667,20.0,13.0,119.0,11.0,29.0,5.0,0.2727272727272727
